smiles,cation_name,cation_smiles,anion_name,anion_smiles,molecular_weight
CCCCC[n+]1ccn(C)c1.F[P-](F)(F)(F)(F)F,IM-C1-C5,CCCCC[n+]1ccn(C)c1,PF6,F[P-](F)(F)(F)(F)F,298.21099999999996
CCCCC[n+]1ccn(C)c1.[Cl-],IM-C1-C5,CCCCC[n+]1ccn(C)c1,Cl,[Cl-],188.702
CCCCC[n+]1ccn(C)c1.[Br-],IM-C1-C5,CCCCC[n+]1ccn(C)c1,Br,[Br-],233.153
CCCCC[n+]1ccn(C)c1.N#C[N-]C#N,IM-C1-C5,CCCCC[n+]1ccn(C)c1,DCA,N#C[N-]C#N,219.292
CCCCC[n+]1ccn(C)c1.N#C[C-](C#N)C#N,IM-C1-C5,CCCCC[n+]1ccn(C)c1,TCM,[C-](C#N)(C#N)C#N,243.314
CC(=O)[O-].CCCCC[n+]1ccn(C)c1,IM-C1-C5,CCCCC[n+]1ccn(C)c1,OAc,CC([O-])=O,212.29299999999998
CCCCC[n+]1ccn(C)c1.N#C[S-],IM-C1-C5,CCCCC[n+]1ccn(C)c1,SCN,[S-]C#N,211.334
CCCCC[n+]1ccn(C)c1.O=[N+]([O-])[O-],IM-C1-C5,CCCCC[n+]1ccn(C)c1,NO3,[O-][N+]([O-])=O,215.253
CCCCC[n+]1ccn(C)c1.O=S(=O)([O-])C(F)(F)F,IM-C1-C5,CCCCC[n+]1ccn(C)c1,OTf,[O-]S(=O)(=O)C(F)(F)F,302.318
CCCCC[n+]1ccn(C)c1.CCOS(=O)(=O)[O-],IM-C1-C5,CCCCC[n+]1ccn(C)c1,EtSO4,CCOS([O-])(=O)=O,278.374
CCCCC[n+]1ccn(C)c1.COS(=O)(=O)[O-],IM-C1-C5,CCCCC[n+]1ccn(C)c1,MeSO4,COS([O-])(=O)=O,264.347
CCCCC[n+]1ccn(C)c1.O=S(=O)([O-])O,IM-C1-C5,CCCCC[n+]1ccn(C)c1,HSO4,[O-]S(O)(=O)=O,250.32
CCCCC[n+]1ccn(C)c1.NCC(=O)[O-],IM-C1-C5,CCCCC[n+]1ccn(C)c1,Gly,[NH2]CC([O-])=O,227.30799999999996
