temperature_K,pressure_bar
278.15,1.01
279.54,1.01
283.15,202.0
288.28,1.005
293.15,100.8
298.15,399.7
303.22,4.98
308.09,1.005
313.16,103.25
318.17499999999995,1.005
323.2,7.5
327.95,1.01
333.15,125.0
338.26,1.01
343.14,10.0
348.1,1.01
353.15,199.8
354.33,1.01
363.15,1.01
373.15,499.9
393.15,547.25
413.15,549.8
273.1,1.01325
278.15,349.79999999999995
283.15,56.91
284.0,1.01325
288.15,1.01325
289.1,1.01325
291.1,1.01325
293.15,1.01325
293.51,100.0
294.9,50.506625
297.05,1.01325
298.15,10.23
299.15,1.01325
300.2,1.01325
301.15,1.01325
302.17499999999995,1.011625
303.15,1.01325
304.17499999999995,1.011625
305.15,1.01325
306.2,1.01325
307.15,1.01325
308.15,1.01325
309.075,1.01325
313.15,100.0
314.0,1.01325
315.0,100.0
318.15,1.01325
322.31,75.0
323.15,1.01325
323.5,1.01325
327.16,1.01325
328.15,1.01325
333.15,150.0
333.66,1.01325
335.1,100.0
338.15,1.01325
342.45500000000004,1.01325
343.15,1.01325
344.23,1.01325
348.15,59.7
348.93,1.01325
352.31,50.0
353.16,200.0
358.15,1.01325
363.15,1.01325
368.15,1.01325
373.15,326.6
391.3,75.0
393.11,650.175
398.15,203.9
413.13,651.235
414.93,100.0
432.6,1050.0
452.5,1050.0
472.3,1050.0
283.15,1.01325
288.15,1.01325
293.15,1.01325
298.15,1.01325
303.15,1.01325
308.15,1.01325
313.15,1.01325
318.15,1.01325
323.15,1.01325
328.15,1.01325
333.15,1.01325
338.15,1.01325
343.15,1.01325
348.15,1.01325
353.15,1.01325
358.15,1.01325
